id,departure,destination,startStation,endStation,journey,distance
2988.1214.A,Hà Nội,Vĩnh Phúc,Gia Lâm,Lập Thạch,BX Lập Thạch - ĐT307 - QL2C - QL2A - QL3 - BX Gia Lâm,95
2988.1214.B,Hà Nội,Vĩnh Phúc,Gia Lâm,Lập Thạch,BX Lập Thạch - ĐT305 - QL2A - QL3 - BX Gia Lâm,95
2988.1216.A,Hà Nội,Vĩnh Phúc,Gia Lâm,Tam Dương,BX Tam Dương - QL2C - QL2 - QL3 - BX Gia Lâm,85
2988.1219.A,Hà Nội,Vĩnh Phúc,Gia Lâm,Sông Lô,BX Sông Lô - ĐT307 - QL2C - QL2A - QL3 - BX Gia Lâm,95
2988.1219.B,Hà Nội,Vĩnh Phúc,Gia Lâm,Sông Lô,BX Sông Lô - Then - Yên Thạch - TT Lập Thạch - ĐT305 - QL2A - QL3 - BX Gia Lâm,95
2988.1312.A,Hà Nội,Vĩnh Phúc,Mỹ Đình,Vĩnh Tường,BX Mỹ Đình - QL32 - QL2 - BX Vĩnh Tường,56
2988.1313.A,Hà Nội,Vĩnh Phúc,Mỹ Đình,Yên Lạc,BX Yên Lạc - Trung Kiên - Nguyệt Đức - ĐT303 - Văn Tiến - Tự Lập - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,75
2988.1314.A,Hà Nội,Vĩnh Phúc,Mỹ Đình,Lập Thạch,BX Lập Thạch - ĐT305 - QL2A - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,85
2988.1314.B,Hà Nội,Vĩnh Phúc,Mỹ Đình,Lập Thạch,BX Lập Thạch - ĐT307 - QL2C - QL2A - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,85
2988.1315.A,Hà Nội,Vĩnh Phúc,Mỹ Đình,Phúc Yên,BX Phúc Yên - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,40
2988.1316.A,Hà Nội,Vĩnh Phúc,Mỹ Đình,Tam Dương,BX Tam Dương - An Hòa - Hoàng Đan - Kim Xã - ĐT305 - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,75
2988.1316.B,Hà Nội,Vĩnh Phúc,Mỹ Đình,Tam Dương,BX Tam Dương - QL2B - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,75
2988.1317.A,Hà Nội,Vĩnh Phúc,Mỹ Đình,Tam Đảo,BX Tam Đảo - QL2B - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,85
2988.1317.B,Hà Nội,Vĩnh Phúc,Mỹ Đình,Tam Đảo,BX Tam Đảo - Hồ Sơn - Minh Quang - Gia Khánh - Tam Hợp - Hương Canh - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,85
2988.1319.A,Hà Nội,Vĩnh Phúc,Mỹ Đình,Sông Lô,BX Sông Lô - ĐT307B - ĐT307 - Thị trấn Lập Thạch - ĐT305 - Quán Tiên - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,95
2988.1319.B,Hà Nội,Vĩnh Phúc,Mỹ Đình,Sông Lô,BX Sông Lô - ĐT307B - ĐT307 - TT Lập Thạch - ĐT306 - Tử Du - Bản Giản - Cầu Gạo - ĐT305 - Quán Tiên - QL2A - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,95
2988.1319.C,Hà Nội,Vĩnh Phúc,Mỹ Đình,Sông Lô,BX Sông Lô - ĐT307B - ĐT307 - TT Lập Thạch - ĐT305 - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,95
2988.1612.A,Hà Nội,Vĩnh Phúc,Yên Nghĩa,Vĩnh Tường,BX Vĩnh Tường - Văn Xuân - Minh Tân - ĐT303 - Văn Tiến - Tự Lập - Tiền Châu - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Yên Nghĩa,90
